,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,log10_pvalue
GTF2B,0.7426,0.25739999999999996,1.0595262211971155,0.00017869825,0.0001441117,0.0,0.25,0.20332855,0.17400837,0.7440444,-2.1206722,2.6248226,0.12140078,0.44615385,0.10972762645914397,0.3435897435897436,1.6262572,1.4973538,False,NK cell vs cDC,NK cell,cDC,0.5893914574316322
SNHG11,0.7426,0.25739999999999996,1.0595262211971155,3.8394504e-05,3.744094e-05,0.0,0.25,-0.065613724,-0.073067665,0.76496845,-2.9394274,2.6447973,0.022568094,0.12307692,0.022568093385214007,0.11794871794871795,0.32854414,0.42771065,False,NK cell vs cDC,NK cell,cDC,0.5893914574316322
DELE1,0.7424,0.25760000000000005,1.0584801618917445,0.00012636045,0.00012931383,0.0,0.25,-0.11846425,-0.1252861,0.7438011,-2.8724794,2.6673956,0.07859922,0.31794873,0.07392996108949416,0.2512820512820513,1.1599057,1.0497044,False,NK cell vs cDC,NK cell,cDC,0.5890541413122254
TAF5L,0.7424,0.25760000000000005,1.0584801618917445,2.0259797e-05,2.2195403e-05,0.0,0.25,-0.13697779,-0.16438627,0.7736175,-3.4877558,2.857071,0.014007783,0.056410257,0.014007782101167316,0.05128205128205128,0.15141653,0.18862833,False,NK cell vs cDC,NK cell,cDC,0.5890541413122254
NNT,0.7418,0.2582,1.0553451613940048,0.00014816254,0.00011741732,0.0,0.25,0.27640587,0.27247143,0.73363423,-2.435832,3.9879284,0.101167314,0.33846155,0.09260700389105059,0.2717948717948718,1.3558711,1.1288124,False,NK cell vs cDC,NK cell,cDC,0.5880437620695985
TARBP2,0.7406,0.25939999999999996,1.049089371549234,8.8725006e-05,8.301753e-05,0.0,0.25,0.08661191,0.098983765,0.74249405,-2.6620665,2.7938328,0.047470815,0.17948718,0.045914396887159536,0.17435897435897435,0.6496255,0.70864743,False,NK cell vs cDC,NK cell,cDC,0.5860300282519387
PES1,0.7396,0.26039999999999996,1.043890564296921,9.828022e-05,0.00011049293,0.0,0.25,-0.25867742,-0.2805457,0.6823248,-2.7740355,2.2246428,0.059143968,0.2717949,0.05680933852140078,0.2358974358974359,0.8471505,1.0619036,False,NK cell vs cDC,NK cell,cDC,0.5843590201038458
GMFG,0.7386,0.26139999999999997,1.0387046765119232,0.002569021,0.0019234228,0.0,0.25,0.40875766,0.41616392,0.31794837,-0.8834686,1.7096949,1.6560311,5.0410256,0.77431906614786,0.9538461538461539,23.624561,19.077545,False,NK cell vs cDC,NK cell,cDC,0.5826944167554745
SPATA20,0.737,0.263,1.03043383555728,8.133282e-05,8.239904e-05,0.0,0.25,-0.07588153,-0.06618357,0.76632553,-2.8858194,2.6211834,0.05680934,0.20512821,0.05603112840466926,0.18974358974358974,0.8878545,0.6542853,False,NK cell vs cDC,NK cell,cDC,0.5800442515102421
C8orf82,0.737,0.263,1.03043383555728,8.525421e-05,9.773707e-05,0.0,0.25,-0.18748021,-0.16376162,0.7727024,-3.832286,2.4957857,0.06070039,0.31282052,0.05914396887159533,0.26153846153846155,0.8608859,1.1661762,False,NK cell vs cDC,NK cell,cDC,0.5800442515102421
PAPSS1,0.737,0.263,1.03043383555728,9.412768e-05,0.00010853472,0.0,0.25,-0.28012276,-0.2442522,0.7534132,-4.223709,2.1952543,0.05603113,0.34358975,0.054474708171206226,0.2564102564102564,0.8010497,1.2941673,False,NK cell vs cDC,NK cell,cDC,0.5800442515102421
MYCBP,0.7368,0.2632,1.0294022610682187,0.0001532594,0.00017570358,0.0,0.25,-0.25393414,-0.2602148,0.68626505,-2.5139275,2.5108957,0.10194553,0.46666667,0.09571984435797666,0.36923076923076925,1.3384081,1.6639158,False,NK cell vs cDC,NK cell,cDC,0.5797141150580821
DDX41,0.7364,0.26359999999999995,1.027340622373881,0.0001615678,0.00012369793,0.0,0.25,0.34936532,0.3387246,0.6697637,-2.1935835,2.5639515,0.108949415,0.31794873,0.10428015564202335,0.2564102564102564,1.5871658,1.1482408,False,NK cell vs cDC,NK cell,cDC,0.5790545940780278
ADPRHL2,0.736,0.264,1.0252809912907292,0.00011342889,9.637599e-05,0.0,0.25,0.18142815,0.15148687,0.72214264,-2.1250372,3.1765423,0.06848249,0.2717949,0.0669260700389105,0.2358974358974359,1.0707556,1.0645751,False,NK cell vs cDC,NK cell,cDC,0.5783960731301689
