Geneid,DZQV_mDC_rep4,925L_mDC_rep2,9JD4_mDC_rep1,G4YW_mDC_rep3,DZQV_NK_rep4,925L_NK_rep2,9JD4_NK_rep1,G4YW_NK_rep3
ZNF384,668,508,692,568,751,988,757,943
PIANP,0,0,0,0,0,0,0,0
AC125494.3,0,0,0,1,2,1,0,2
COPS7A,1439,1500,1477,1845,848,705,705,903
AC125494.2,7,0,13,7,0,1,4,0
MLF2,2786,2346,2704,2099,1781,1454,1458,1770
PTMS,11,12,18,1,0,8,5,12
LAG3,3,0,4,0,16,112,106,258
CD4,8079,9370,10812,10774,84,119,59,94
GPR162,51,66,112,50,0,0,0,0
P3H3,0,9,10,0,0,0,0,0
GNB3,0,0,5,0,0,3,0,0
CDCA3,25,5,25,12,90,39,16,53
USP5,1293,1168,1360,1397,1263,1370,1044,1474
TPI1,9256,6493,8407,6730,3120,2071,3030,4448
SPSB2,183,302,137,198,255,302,58,406
LRRC23,132,121,137,90,83,104,26,76
U47924.3,0,1,0,0,0,5,5,4
ENO2,1,2,7,17,254,464,378,394
ATN1,136,159,85,70,23,80,36,93
C12orf57,40,37,23,27,30,29,20,92
U47924.2,31,40,10,19,2,5,1,19
PTPN6,10998,10161,10652,11598,5213,4561,3851,9000
MIR200CHG,0,0,2,1,0,0,0,0
U47924.1,0,0,0,0,0,0,0,0
PHB2,2162,1781,2070,1877,993,825,1046,1667
EMG1,254,244,429,215,168,284,374,370
LPCAT3,361,451,372,451,415,413,283,346
C1S,28,41,21,8,0,23,0,39
C1R,65,28,24,31,85,71,62,122
C1RL,213,212,161,190,146,100,108,226
C1RL-AS1,42,61,70,22,135,170,171,150
RBP5,6,8,15,2,16,42,17,18
AC018653.3,2,1,0,1,3,18,4,8
CLSTN3,152,225,99,151,2096,4385,1231,3723
AC018653.4,7,10,1,0,17,6,30,30
AC018653.1,0,0,0,0,0,0,0,0
PEX5,362,202,250,237,220,575,393,406
ACSM4,0,4,4,0,0,0,0,0
CD163L1,4,65,2,6,0,0,0,0
CD163,4394,4253,4069,5804,0,1,1,48
APOBEC1,0,0,0,0,0,0,0,0
GDF3,0,0,0,0,0,0,0,0
DPPA3,0,0,0,0,0,0,0,0
CLEC4C,33,0,35,0,0,2,0,2
NANOGNB,0,0,0,0,0,0,0,0
NANOG,0,25,0,3,0,8,0,0
SLC2A14,1,3,4,1,0,9,7,1
AC006517.2,0,0,0,0,0,0,0,0
SLC2A3,1534,1498,1493,1078,2332,1943,1855,1910
AC006511.6,0,0,0,0,2,0,0,0
AC006511.4,0,0,0,0,0,0,0,0
FOXJ2,578,703,1043,512,279,1109,618,1147
C3AR1,542,549,345,465,521,491,469,840
NECAP1,785,604,822,660,1069,1058,953,907
CLEC4A,1962,1537,1926,1409,80,60,11,59
ZNF705A,0,0,0,0,0,0,0,0
FAM66C,9,23,12,10,30,27,14,26
AC092111.2,0,0,0,0,0,0,0,0
AC092111.1,0,63,0,0,0,10,0,6
FAM90A1,18,20,2,15,0,0,0,0
LINC02449,26,62,31,25,0,4,4,4
