"","DZQV_mDC_rep4","925L_mDC_rep2","9JD4_mDC_rep1","G4YW_mDC_rep3","DZQV_NK_rep4","925L_NK_rep2","9JD4_NK_rep1","G4YW_NK_rep3"
"YEATS2-AS1",4.1838121362018,4.8955465871797,4.10689402904605,3.58587045715706,4.39637732734524,4.53329602726473,3.95733530201458,4.41795731712858
"MAP6D1",4.09844047052456,4.61312650336438,3.96231554639785,3.41591324113252,5.64748123102615,3.68212046141521,3.59257498156891,4.39680728672808
"PARL",10.4389380427536,10.0874333676749,10.3171537843176,10.051847589319,8.99073720987706,8.15721637714548,8.58714297359953,8.91594299488349
"ABCC5",9.23902253951233,8.47064301531498,8.55114312789721,8.98696746031519,10.0215499363423,10.3029959348569,9.81225414666189,9.80019013122684
"ABCC5-AS1",-1.76819278382488,-1.76855085080004,-1.77105190370054,-1.76460938938514,-1.76227007620898,-1.77182178327272,-1.69784586721125,-1.70555522644675
"HTR3D",0,0,0,0,0,0,0,0
"HTR3C",0,0,0,0,0,0,0,0
"HTR3E-AS1",0,0,0,0,0,0,0,0
"HTR3E",0,0,0,0,0,0,0,0
"AC131235.3",-1.0992340577231,-1.10015189227041,-0.413727205520984,-1.09004872804584,-1.08405235697847,-1.10413987561496,-1.09300446791819,-1.10456293105816
"AC131235.2",0.588498813994259,0.100117428487415,0.0980301986706831,0.10364131967675,0.105873199974911,1.19793934048525,0.474701344639109,0.0961165779841926
"EIF2B5",9.00399814030135,8.85419209036702,9.54822386379959,8.87874661564358,8.5508223030067,9.45751248108877,8.64085950351044,9.66474443341906
"DVL3",8.41097577483395,9.43256283839622,8.83361588636987,8.77884266178303,8.49123558113084,8.58683168189788,8.40942615832431,8.62850136776042
"AP2M1",12.4512551540785,12.2325700769716,12.2711620898115,12.4420659840808,11.9727328871848,11.8509527138696,11.6938247384072,11.7492083267073
"ABCF3",9.56828934747237,9.4043589603164,9.63936248797107,9.78388735049139,10.2893418606139,10.1769374907167,10.0356236685803,9.89614890477346
"VWA5B2",-0.609386384003008,-0.609612489042873,-0.611152760830117,-0.607046211609961,-0.605442565283122,0.311080577838976,-0.607814621726933,-0.612578437885648
"ALG3",10.2075662307481,9.74685306149412,9.98841928613063,10.2447869355853,9.42966326069545,8.44660915027625,9.49383902986432,9.38052239285223
"EEF1AKMT4",5.65470022241494,5.82860151784699,5.77802031154339,5.83438528084615,4.68669694847298,3.39090177724299,4.93778485415767,4.83476115818857
"CAMK2N2",0,0,0,0,0,0,0,0
"ECE2",0,0,0,0,0,0,0,0
"PSMD2",11.8440791216512,11.3683636258875,11.9065855801043,11.810969198893,11.5712075856103,12.1782396033523,11.9306241204702,11.8528637522577
"EIF4G1",11.7351141901521,11.2365897174768,11.5549791543206,11.905481261595,11.0179021529421,10.9481540517975,11.1464639484314,11.2502262936617
"FAM131A",8.55062454893326,8.59197934598528,8.73299373953694,8.47859863382317,6.52452803947168,7.36656823404453,7.35600722258775,6.92970858042737
"CLCN2",1.31636704601547,3.12776829951823,1.85004384445841,1.32778621232113,2.6867103272497,1.96624411829812,1.91788654836048,2.1493113948998
"POLR2H",6.78420583575449,7.37281282373473,6.89726254625847,7.25873983297333,6.65251905304752,6.92496076763217,6.58123084320179,6.89949606915572
"THPO",0,0,0,0,0,0,0,0
"CHRD",0,0,0,0,0,0,0,0
"LINC02054",0,0,0,0,0,0,0,0
"LINC01839",0,0,0,0,0,0,0,0
"LINC01840",0,0,0,0,0,0,0,0
"EPHB3",5.25429679011526,6.13301436860438,5.82590814865639,5.76890091733269,2.70942334147114,1.21293007572957,1.33265650877934,1.18029845584753
